model,version,location,page_url,url
cpe610,v2,au,https://www.tp-link.com/au/support/download/cpe610/v2/,https://static.tp-link.com/2020/202009/20200901/CPE610(UN)_v2.0_20200803.zip
cpe610,v2,au,https://www.tp-link.com/au/support/download/cpe610/v2/,https://static.tp-link.com/2020/202005/20200513/CPE610(UN)_v2.0_20200423.zip
cpe610,v2,en,https://www.tp-link.com/en/support/download/cpe610/v2/,https://static.tp-link.com/2020/202012/20201204/CPE610(UN)_v2.0_20201028.zip
cpe610,v2,en,https://www.tp-link.com/en/support/download/cpe610/v2/,https://static.tp-link.com/2020/202009/20200901/CPE610(UN)_v2.0_20200803.zip
cpe610,v2,en,https://www.tp-link.com/en/support/download/cpe610/v2/,https://static.tp-link.com/2020/202005/20200513/CPE610(UN)_v2.0_20200423.zip
cpe610,v2,us,https://www.tp-link.com/us/support/download/cpe610/v2/,https://static.tp-link.com/2020/202007/20200714/CPE610(UN)_V1.0_2.2.1 Build 200516.zip
cpe610,v2,us,https://www.tp-link.com/us/support/download/cpe610/v2/,https://static.tp-link.com/2019/201907/20190723/CPE610(UN)_v1.0_20190228.zip
cpe610,v2,us,https://www.tp-link.com/us/support/download/cpe610/v2/,https://static.tp-link.com/2018/201806/20180607/CPE610(UN)_v1.0_20180327.zip
cpe610,v2,de,https://www.tp-link.com/de/support/download/cpe610/v2/,https://static.tp-link.com/2020/202012/20201204/CPE610(UN)_v2.0_20201028.zip
cpe610,v2,de,https://www.tp-link.com/de/support/download/cpe610/v2/,https://static.tp-link.com/2020/202009/20200901/CPE610(UN)_v2.0_20200803.zip
cpe610,v2,de,https://www.tp-link.com/de/support/download/cpe610/v2/,https://static.tp-link.com/2020/202005/20200513/CPE610(UN)_v2.0_20200423.zip
wbs210,v1,au,https://www.tp-link.com/au/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
wbs210,v1,au,https://www.tp-link.com/au/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v1,au,https://www.tp-link.com/au/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
wbs210,v1,en,https://www.tp-link.com/en/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
wbs210,v1,en,https://www.tp-link.com/en/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v1,en,https://www.tp-link.com/en/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
wbs210,v1,us,https://www.tp-link.com/us/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v1,us,https://www.tp-link.com/us/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
wbs210,v1,us,https://www.tp-link.com/us/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
wbs210,v1,de,https://www.tp-link.com/de/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
wbs210,v1,de,https://www.tp-link.com/de/support/download/wbs210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v1,uk,https://www.tp-link.com/uk/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
wbs210,v1,uk,https://www.tp-link.com/uk/support/download/wbs210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
wbs210,v2,au,https://www.tp-link.com/au/support/download/wbs210/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v2,en,https://www.tp-link.com/en/support/download/wbs210/v2/,https://static.tp-link.com/2019/201907/20190725/WBS210(UN)_V2.0_2.2.1 Build 190620.zip
wbs210,v2,en,https://www.tp-link.com/en/support/download/wbs210/v2/,https://static.tp-link.com/2019/201904/20190411/WBS210(UN)_v2.0_20190228.zip
wbs210,v2,en,https://www.tp-link.com/en/support/download/wbs210/v2/,https://static.tp-link.com/2018/201803/20180307/WBS210(UN)_v2.0_20180202.zip
wbs210,v2,us,https://www.tp-link.com/us/support/download/wbs210/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs210,v2,us,https://www.tp-link.com/us/support/download/wbs210/v2/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
wbs210,v2,us,https://www.tp-link.com/us/support/download/wbs210/v2/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
wbs210,v2,de,https://www.tp-link.com/de/support/download/wbs210/v2/,https://static.tp-link.com/2019/201907/20190725/WBS210(UN)_V2.0_2.2.1 Build 190620.zip
wbs210,v2,de,https://www.tp-link.com/de/support/download/wbs210/v2/,https://static.tp-link.com/2018/201803/20180307/WBS210(UN)_v2.0_20180202.zip
wbs210,v2,de,https://www.tp-link.com/de/support/download/wbs210/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
wbs510,v1,au,https://www.tp-link.com/au/support/download/wbs510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
wbs510,v1,au,https://www.tp-link.com/au/support/download/wbs510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
wbs510,v1,au,https://www.tp-link.com/au/support/download/wbs510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
