kind,lang,page_url,url
tl-wpa8630p-v2.10,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-kit-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
